###################################
Logging started on 4/27/2014 2:39:53 PM

4/27/2014 2:40:14 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') used command 'adddoor '
4/27/2014 2:40:17 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') used command 'Add StrongWoodDoor EastCCW'
4/27/2014 2:40:18 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') building at (1505, 622, -18) in Ilshenar: "StrongWoodDoor" "EastCCW"
4/27/2014 2:40:18 PM: 127.0.0.1: Serials: 0x4000001C; 
###################################
Logging started on 4/27/2014 2:50:06 PM

4/27/2014 2:50:15 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') used command 'adddoor '
4/27/2014 2:50:19 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') used command 'Add StrongWoodDoor SouthCW'
4/27/2014 2:50:19 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') building at (1501, 619, -19) in Ilshenar: "StrongWoodDoor" "SouthCW"
4/27/2014 2:50:19 PM: 127.0.0.1: Serials: 0x4000001C; 
4/27/2014 2:50:27 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') used command 'add xmlspawner miner'
4/27/2014 2:50:28 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') building at (1499, 618, -19) in Ilshenar: "xmlspawner" "miner"
4/27/2014 2:50:28 PM: 127.0.0.1: Serials: 0x4000001D; 
4/27/2014 2:50:33 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') used command 'move '
4/27/2014 2:50:35 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') moving 0x8 "Shoshana" (no account) to (1499, 618, -19)
4/27/2014 2:50:43 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') used command 'Add StrongWoodDoor SouthCW'
4/27/2014 2:50:44 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') building at (1506, 616, -19) in Ilshenar: "StrongWoodDoor" "SouthCW"
4/27/2014 2:50:44 PM: 127.0.0.1: Serials: 0x40000052; 
4/27/2014 2:50:48 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') used command 'props '
###################################
Logging started on 4/27/2014 3:02:40 PM

4/27/2014 3:03:03 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') used command 'add cannon west'
4/27/2014 3:03:04 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') building at (1505, 622, -18) in Ilshenar: "cannon" "west"
4/27/2014 3:03:04 PM: 127.0.0.1: Serials: 0x4000001C; 
4/27/2014 3:03:21 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') used command 'addtopack cannonball'
4/27/2014 3:03:22 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') building at (1505, 623, -19) in Ilshenar: "cannonball"
4/27/2014 3:03:22 PM: 127.0.0.1: Serials: 0x40000020; 
4/27/2014 3:03:27 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') used command 'addtopack sulfurousask 50'
4/27/2014 3:03:28 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') building at (1505, 623, -19) in Ilshenar: "sulfurousask" "50"
4/27/2014 3:03:33 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') used command 'add sulfurousask'
4/27/2014 3:03:34 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') used command 'add sulfurousash'
4/27/2014 3:03:36 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') building at (1505, 624, -16) in Ilshenar: "sulfurousash"
4/27/2014 3:03:36 PM: 127.0.0.1: Serials: 0x40000021; 
4/27/2014 3:03:40 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') used command 'dupe 100'
4/27/2014 3:03:41 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') duping 0x40000021 (SulfurousAsh) (inBag=False; amount=100)
4/27/2014 3:03:41 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') duped 0x40000021 (SulfurousAsh) creating 0x40000022 (SulfurousAsh)
4/27/2014 3:03:41 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') duped 0x40000021 (SulfurousAsh) creating 0x40000023 (SulfurousAsh)
4/27/2014 3:03:41 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') duped 0x40000021 (SulfurousAsh) creating 0x40000024 (SulfurousAsh)
4/27/2014 3:03:41 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') duped 0x40000021 (SulfurousAsh) creating 0x40000025 (SulfurousAsh)
4/27/2014 3:03:41 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') duped 0x40000021 (SulfurousAsh) creating 0x40000026 (SulfurousAsh)
4/27/2014 3:03:41 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') duped 0x40000021 (SulfurousAsh) creating 0x40000052 (SulfurousAsh)
4/27/2014 3:03:41 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') duped 0x40000021 (SulfurousAsh) creating 0x40000053 (SulfurousAsh)
4/27/2014 3:03:41 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') duped 0x40000021 (SulfurousAsh) creating 0x40000054 (SulfurousAsh)
4/27/2014 3:03:41 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') duped 0x40000021 (SulfurousAsh) creating 0x40000055 (SulfurousAsh)
4/27/2014 3:03:41 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') duped 0x40000021 (SulfurousAsh) creating 0x40000056 (SulfurousAsh)
4/27/2014 3:03:41 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') duped 0x40000021 (SulfurousAsh) creating 0x40000057 (SulfurousAsh)
4/27/2014 3:03:41 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') duped 0x40000021 (SulfurousAsh) creating 0x40000058 (SulfurousAsh)
4/27/2014 3:03:41 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') duped 0x40000021 (SulfurousAsh) creating 0x40000059 (SulfurousAsh)
4/27/2014 3:03:41 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') duped 0x40000021 (SulfurousAsh) creating 0x4000005A (SulfurousAsh)
4/27/2014 3:03:41 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') duped 0x40000021 (SulfurousAsh) creating 0x4000005B (SulfurousAsh)
4/27/2014 3:03:41 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') duped 0x40000021 (SulfurousAsh) creating 0x4000005C (SulfurousAsh)
4/27/2014 3:03:41 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') duped 0x40000021 (SulfurousAsh) creating 0x4000005D (SulfurousAsh)
4/27/2014 3:03:41 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') duped 0x40000021 (SulfurousAsh) creating 0x4000005E (SulfurousAsh)
4/27/2014 3:03:41 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') duped 0x40000021 (SulfurousAsh) creating 0x4000005F (SulfurousAsh)
4/27/2014 3:03:41 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') duped 0x40000021 (SulfurousAsh) creating 0x40000060 (SulfurousAsh)
4/27/2014 3:03:41 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') duped 0x40000021 (SulfurousAsh) creating 0x40000061 (SulfurousAsh)
4/27/2014 3:03:41 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') duped 0x40000021 (SulfurousAsh) creating 0x40000062 (SulfurousAsh)
4/27/2014 3:03:41 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') duped 0x40000021 (SulfurousAsh) creating 0x40000063 (SulfurousAsh)
